TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20200112191857,2200728.209206,White,67,Employed-At work,Female,7,2020,socializing,1,West,Pacific,WA,metropolitan,38900,0,0,0,0
20200112191861,2391243.916782,White,70,Retired,Female,7,2020,socializing,1,South,West South Central,LA,metropolitan,0,0,120,2,4782487.833564
20200112191865,4519794.297817,White,66,Employed-At work,Male,2,2020,socializing,1,Midwest,West North Central,IA,non-metropolitan,0,0,0,0,0
20200112191873,13295292.71959,White,63,Employed-At work,Female,5,2020,socializing,NA,NA,NA,NA,NA,NA,NA,20,0.3333333333333333,4431764.239863333
20200112191875,9783714.672492,White,35,Employed-At work,Female,5,2020,socializing,1,South,South Atlantic,NC,metropolitan,16740,119,30,0.5,4891857.336246
20200112191877,12951430.908537,White,50,Employed-At work,Male,3,2020,socializing,1,South,West South Central,TX,metropolitan,19100,0,0,0,0
20200112191882,2697805.231764,White,80,Retired,Male,7,2020,socializing,1,South,South Atlantic,FL,metropolitan,33100,99,15,0.25,674451.307941
20200112191883,6737514.552347,White,63,Employed-At work,Male,6,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112191884,4868470.295526,White,41,Employed-At work,Female,1,2020,socializing,1,West,Mountain,CO,metropolitan,19740,31,90,1.5,7302705.443289
20200112191898,10390369.196795,White,65,Retired,Male,7,2020,socializing,1,Midwest,West North Central,MN,metropolitan,33460,0,0,0,0
20200112191900,13110533.240156,White,58,Retired,Male,4,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112191903,1993190.498009,Black,66,Retired,Female,1,2020,socializing,1,Northeast,Middle Atlantic,NY,metropolitan,35620,47,0,0,0
20200112191905,8179763.190455,White,67,Employed-At work,Female,6,2020,socializing,1,Midwest,West North Central,MO,metropolitan,28140,0,0,0,0
20200112191908,2237369.289574,White,74,Retired,Female,1,2020,socializing,1,Midwest,East North Central,MI,metropolitan,19820,99,180,3,6712107.868722
20200112191911,20650990.412758,White,44,Retired,Female,5,2020,socializing,1,West,Pacific,WA,metropolitan,28420,0,65,1.0833333333333333,22371906.28048783
20200112191913,2988946.740193,Black,71,Retired,Female,3,2020,socializing,1,South,South Atlantic,FL,metropolitan,0,0,15,0.25,747236.68504825
20200112191919,12536942.310559,White,34,Employed-At work,Female,2,2020,socializing,1,South,West South Central,TX,metropolitan,12420,0,10,0.16666666666666666,2089490.3850931667
20200112191922,5101186.40278,Black,64,Retired,Female,1,2020,socializing,NA,NA,NA,NA,NA,NA,NA,110,1.8333333333333333,9352175.071763333
20200112191926,4475140.731163,White,61,Employed-At work,Male,7,2020,socializing,1,Midwest,East North Central,MI,metropolitan,24340,81,0,0,0
20200112191934,13414283.164287,White,80,Retired,Male,4,2020,socializing,1,Midwest,West North Central,MO,metropolitan,0,0,0,0,0
